Gene stable ID	Gene name	Mouse gene stable ID	Mouse gene name	Mouse homology type
ENSG00000200831	SNORD36B	ENSMUSG00000064829	Gm22879	ortholog_one2one
ENSG00000278237	NCRUPAR_2			
ENSG00000271852	SNORD11B	ENSMUSG00000089512	Gm26287	ortholog_one2one
ENSG00000201980	SNORA62			
ENSG00000251756	RNA5SP385	ENSMUSG00000065275	n-R5s217	ortholog_one2many
ENSG00000244307	RN7SL395P			
ENSG00000199880	RNU6-888P			
ENSG00000276800	Metazoa_SRP			
ENSG00000201811	SNORA71			
ENSG00000222616	RN7SKP27	ENSMUSG00000084419	Gm22275	ortholog_one2many
ENSG00000275405	U1			
ENSG00000207115	RNU6-364P	ENSMUSG00000064644	Gm23302	ortholog_one2one
ENSG00000252622	RNU6-881P	ENSMUSG00000064781	Gm22686	ortholog_one2one
ENSG00000238942	SNORD2	ENSMUSG00000088524	Snord2	ortholog_one2many
ENSG00000264909	U1			
ENSG00000222783	RN7SKP212	ENSMUSG00000087898	Gm25271	ortholog_one2many
ENSG00000281810	MIR3972			
ENSG00000242769	RN7SL432P			
ENSG00000206662	Y_RNA			
ENSG00000199709	RNU4-23P			
ENSG00000212518	RNU11-5P			
ENSG00000222960	RNU6-272P			
ENSG00000222724	RNU2-63P			
ENSG00000207297	SNORD7	ENSMUSG00000065715	Snord7	ortholog_one2one
ENSG00000202351	RN7SKP204	ENSMUSG00000084694	Gm24893	ortholog_one2one
ENSG00000207494	Y_RNA			
ENSG00000206806	Y_RNA			
ENSG00000207265	Y_RNA			
ENSG00000207071	RNU6-1207P			
ENSG00000277967	ZNFX1-AS1_3			
ENSG00000277081	RMST_10	ENSMUSG00000098979	Gm27544	ortholog_one2one
ENSG00000200884	Y_RNA			
ENSG00000275915	NPPA-AS1_3			
ENSG00000275808	Metazoa_SRP			
ENSG00000276711	U2			
ENSG00000201070	RNU4-84P			
ENSG00000199283	RNU1-58P	ENSMUSG00000088332	Gm22847	ortholog_one2many
ENSG00000207231	Y_RNA			
ENSG00000212370	RNU6-482P	ENSMUSG00000070175	Gm24162	ortholog_one2many
ENSG00000201579	RNU6-343P			
ENSG00000200601	RNA5SP50			
ENSG00000251873	RNA5SP182	ENSMUSG00000089558	Gm24174	ortholog_one2one
ENSG00000274709	Evf-2_5p	ENSMUSG00000098326	Dlx6os1	ortholog_one2one
ENSG00000242651	RN7SL862P			
ENSG00000207656	MIR489			
ENSG00000198995	MIR340			
ENSG00000201511	Y_RNA			
ENSG00000207428	RNU6-95P	ENSMUSG00000095780	Gm24674	ortholog_one2many
ENSG00000216058	MIR944			
ENSG00000273818	RN7SL673P			
ENSG00000284448	MIR6501			
ENSG00000199832	Y_RNA			
ENSG00000275458	MIR6809			
ENSG00000273752	U6			
ENSG00000284067	MIR6837			
ENSG00000200455	RNU6-1112P			
ENSG00000221288	MIR663B			
ENSG00000207645	MIR512-1			
ENSG00000199047	MIR378A			
ENSG00000274390	MIR6885			
ENSG00000238562	RNU7-159P			
ENSG00000264233	MIR4456			
ENSG00000266146	MIR5190			
ENSG00000263955	RN7SL850P			
ENSG00000212624	SNORA26			
ENSG00000278250	Metazoa_SRP			
ENSG00000283744	MIR6755			
ENSG00000266439	RN7SL493P			
ENSG00000263912	Metazoa_SRP			
ENSG00000274284	Y_RNA			
ENSG00000262579	U6			
ENSG00000276222	Y_RNA			
ENSG00000201415	RNA5SP204			
ENSG00000263908	MIR3116-1			
ENSG00000207041	RNU6-3P			
ENSG00000266203	MIR5585			
ENSG00000206911	Y_RNA			
ENSG00000278124	RN7SL186P			
ENSG00000199469	RNU1-62P			
ENSG00000200484	RNU6-1244P			
ENSG00000223284	RNU6-195P			
ENSG00000199934	SNORD81			
ENSG00000201710	SNORD113			
ENSG00000243900	RN7SL320P			
ENSG00000276918	Metazoa_SRP			
ENSG00000277653	CDKN2B-AS	ENSMUSG00000098669	Gm27580	ortholog_one2one
ENSG00000251705	RNA5-8SP6			
ENSG00000200815	RNU6-1091P			
ENSG00000222922	RNA5SP501			
ENSG00000272075	RN7SL828P			
ENSG00000277542	HOXB13-AS1_2	ENSMUSG00000099107	Gm27898	ortholog_one2one
ENSG00000278123	SNORD116-28			
ENSG00000201966	RNA5-8SP4			
ENSG00000200062	RNU4-58P			
ENSG00000244512	RN7SL28P	ENSMUSG00000093191	Gm22876	ortholog_one2many
ENSG00000203573	Metazoa_SRP			
ENSG00000212579	SNORA40	ENSMUSG00000087813	Gm22490	ortholog_one2many
ENSG00000222210	RN7SKP65			
ENSG00000274401	ZNRD1-AS1_3			
ENSG00000273642	AC012314.1			
ENSG00000251859	RNU6-1288P			
ENSG00000284317	MIR7114			
ENSG00000199792	RNU6-1233P			
ENSG00000201223	RNU6-1305P			
ENSG00000252426	RNU1-107P			
ENSG00000207380	Y_RNA			
ENSG00000201325	RNA5SP142			
ENSG00000221275	MIR548I2			
ENSG00000252468	RNU2-57P			
ENSG00000266780	MIR4444-2			
ENSG00000275708	MIR3648-1			
ENSG00000199350	RNA5SP432			
ENSG00000252699	SNORA21B	ENSMUSG00000070166	Gm25821	ortholog_one2many
ENSG00000252699	SNORA21B	ENSMUSG00000098813	Gm27326	ortholog_one2many
ENSG00000221628	MIR1302-4			
ENSG00000207513	RNU1-3			
ENSG00000207653	MIR558			
ENSG00000221548	MIR1283-2			
ENSG00000284361	MIR4745			
ENSG00000207031	SNORD59A	ENSMUSG00000064778	Snord59a	ortholog_one2one
ENSG00000207378	RNU6-748P	ENSMUSG00000064407	Gm23926	ortholog_one2one
ENSG00000201287	RN7SKP171			
ENSG00000274655	XIST_intron	ENSMUSG00000099312	Gm27733	ortholog_one2one
ENSG00000283172	hsa-mir-548d-1			
ENSG00000202542	Y_RNA			
ENSG00000265635	MIR3612			
ENSG00000253005	RNU6-176P			
ENSG00000276622	MIR6499			
ENSG00000239041	snoU13			
ENSG00000265345	MIR5188			
ENSG00000265357	MIR4493			
ENSG00000253065	SNORA40			
ENSG00000272036	MIR139			
ENSG00000207133	SNORD116-7			
ENSG00000223305	RN7SKP30			
ENSG00000266666	MIR4325			
ENSG00000264559	MIR3162			
ENSG00000199575	SNORD114-1			
ENSG00000261867	U6			
ENSG00000212520	RNU6-1250P			
ENSG00000199065	MIR101-2			
ENSG00000265331	MIR4524B			
ENSG00000277202	MIR8063			
ENSG00000200737	Y_RNA			
ENSG00000264500	MIR3124			
ENSG00000276640	ZNRD1-AS1_2			
ENSG00000241552	RN7SL58P			
ENSG00000225091	SNORA71A	ENSMUSG00000088731	Gm23893	ortholog_one2many
ENSG00000225091	SNORA71A	ENSMUSG00000064995	Gm26003	ortholog_one2many
ENSG00000265932	MIR3146			
ENSG00000207607	MIR200A			
ENSG00000243125	RN7SL807P			
ENSG00000266415	MIR4636			
ENSG00000279049	AL353898.2			
ENSG00000207452	RNU6-606P			
ENSG00000207042	RNU6-196P			
ENSG00000278278	MIR6816			
ENSG00000278469	Metazoa_SRP			
ENSG00000266436	MIR4264			
ENSG00000206716	RNU6-133P			
ENSG00000206925	Y_RNA			
ENSG00000264049	MIR4737			
ENSG00000251980	RNU6-436P			
ENSG00000201078	RN7SKP214			
ENSG00000274860	Metazoa_SRP			
ENSG00000207287	RNU6-1274P			
ENSG00000202339	RNU4-45P			
ENSG00000207811	MIR34B			
ENSG00000207759	MIR181A1			
ENSG00000201770	RNU6-384P			
ENSG00000252988	RNU6-111P			
ENSG00000264419	MIR548AC			
ENSG00000212316	RNU6-1228P			
ENSG00000266263	7SK			
ENSG00000200799	RNU6-770P			
ENSG00000277605	Metazoa_SRP			
ENSG00000273875	TARM1			
ENSG00000239128	SNORD13P3			
ENSG00000200225	RNA5SP382	ENSMUSG00000089441	Gm22527	ortholog_one2one
ENSG00000201201	RN7SKP118			
ENSG00000222356	RNU6-710P	ENSMUSG00000070240	Gm23516	ortholog_one2one
ENSG00000200942	RNU6-501P	ENSMUSG00000088284	Gm23588	ortholog_one2many
ENSG00000278264	MIR6803			
ENSG00000200257	RNU6-97P			
ENSG00000201377	RNY4P23			
ENSG00000277887	SNORA50C	ENSMUSG00000087933	Gm26047	ortholog_one2many
ENSG00000277887	SNORA50C	ENSMUSG00000080540	Gm22711	ortholog_one2many
ENSG00000277887	SNORA50C	ENSMUSG00000104536	Gm23786	ortholog_one2many
ENSG00000276220	AC012314.11			
ENSG00000284542	MIR3614			
ENSG00000281557	AL357055.4			
ENSG00000283416	MIR1910			
ENSG00000251814	RN7SKP18			
ENSG00000265855	MIR4514			
ENSG00000244404	RN7SL216P			
ENSG00000207961	MIR496			
ENSG00000266611	MIR4703			
ENSG00000266188	MIR5095			
ENSG00000200726	SNORD115-8			
ENSG00000278073	MIR6726			
ENSG00000202385	Y_RNA			
ENSG00000201288	RNU6-1047P			
ENSG00000207198	RNU6-1195P			
ENSG00000207460	SNORD116-19	ENSMUSG00000077772	Gm22373	ortholog_one2many
ENSG00000274535	SNORD39			
ENSG00000199824	RNU6-199P	ENSMUSG00000065733	Gm24491	ortholog_one2one
ENSG00000200468	RNA5SP403			
ENSG00000264615	RN7SL592P			
ENSG00000275291	U1			
ENSG00000206721	Y_RNA			
ENSG00000242865	RN7SL244P			
ENSG00000206906	RNU6-458P			
ENSG00000242121	RN7SL267P			
ENSG00000252916	RNU6-762P			
ENSG00000238585	Y_RNA			
ENSG00000206788	RNU6-629P	ENSMUSG00000089054	Gm23350	ortholog_one2one
ENSG00000252449	RNU6-139P			
ENSG00000199290	Y_RNA			
ENSG00000252383	RNU6-314P			
ENSG00000239079	snoU13			
ENSG00000277091	U6			
ENSG00000199814	RNU6-1260P	ENSMUSG00000096790	Gm22995	ortholog_one2one
ENSG00000200572	Y_RNA			
ENSG00000201662	RNU6-60P	ENSMUSG00000064928	Gm22045	ortholog_one2one
ENSG00000264025	U6			
ENSG00000239794	RN7SL653P			
ENSG00000265214	MIR4283-2			
ENSG00000212133	RNU6-1168P			
ENSG00000266245	MIR4644			
ENSG00000199640	RN7SKP294			
ENSG00000212377	SNORD37			
ENSG00000277872	MIR6817			
ENSG00000283498	MIR1244-2			
ENSG00000252097	RNU6-346P	ENSMUSG00000088276	Gm23125	ortholog_one2many
ENSG00000202469	Y_RNA			
ENSG00000252390	RNU5F-4P			
ENSG00000272166	SNORD5			
ENSG00000207408	Y_RNA			
ENSG00000274713	MIR7974			
ENSG00000252132	RNU6-795P			
ENSG00000200895	RN7SKP245			
ENSG00000275391	MIR6770-3			
ENSG00000223056	RN7SKP169			
ENSG00000207327	RNU6-883P			
ENSG00000276941	MIR4509-1			
ENSG00000200635	Y_RNA			
ENSG00000266704	MIR4498			
ENSG00000252073	RNU6-947P			
ENSG00000265355	MIR3136			
ENSG00000252292	RN7SKP238	ENSMUSG00000089030	Gm22160	ortholog_one2one
ENSG00000221114	RNU6ATAC30P			
ENSG00000273648	MIR8065			
ENSG00000201492	RNA5SP78			
ENSG00000284160	MIR7706			
ENSG00000275372	ZEB2_AS1_1	ENSMUSG00000098566	Gm27761	ortholog_one2one
ENSG00000239105	RNU7-73P			
ENSG00000212040	MIR543			
ENSG00000216192	MIR920			
ENSG00000278359	MIR7155			
ENSG00000240014	RN7SL254P			
ENSG00000207874	MIR610			
ENSG00000200686	RNY3P3			
ENSG00000281894	ZKSCAN7			
ENSG00000222585	RNA5SP494			
ENSG00000238490	Y_RNA			
ENSG00000201715	RN7SKP133			
ENSG00000263595	RN7SL823P	ENSMUSG00000098477	Gm27853	ortholog_one2many
ENSG00000283204	MIR4434			
ENSG00000263752	MIR3133			
ENSG00000266180	MIR4282			
ENSG00000201843	Y_RNA			
ENSG00000240961	RN7SL415P			
ENSG00000281226	AL590644.2			
ENSG00000264834	MIR1273F			
ENSG00000253057	RN7SKP57	ENSMUSG00000084741	Gm25293	ortholog_one2one
ENSG00000206915	RNU6-439P			
ENSG00000276859	GNAS-AS1_1	ENSMUSG00000099106	Gm27899	ortholog_one2one
ENSG00000239057	MIR500B			
ENSG00000201263	SNORD114-6			
ENSG00000207268	SNORA70C			
ENSG00000280781	EI24P3			
ENSG00000238386	RNU7-48P			
ENSG00000201026	Y_RNA			
ENSG00000238923	RNU7-1			
ENSG00000278331	RNU6-156P			
ENSG00000252037	RNU6-162P	ENSMUSG00000096444	Gm26139	ortholog_one2many
ENSG00000274210	U1			
ENSG00000252205	RNU6-764P			
ENSG00000275901	Metazoa_SRP			
ENSG00000202000	RNU1-36P			
ENSG00000201388	SNORA68B	ENSMUSG00000077563	Snora68	ortholog_one2many
ENSG00000201642	RNU6-865P			
ENSG00000207976	MIR607			
ENSG00000284587	MIR943			
ENSG00000283634	MIR3155B			
ENSG00000264984	MIR5691			
ENSG00000199038	MIR210			
ENSG00000251825	RN7SKP19	ENSMUSG00000088581	Gm22967	ortholog_one2many
ENSG00000251825	RN7SKP19	ENSMUSG00000088223	Gm22600	ortholog_one2many
ENSG00000264192	RN7SL117P			
ENSG00000207728	MIR449B			
ENSG00000239542	RN7SL399P			
ENSG00000264141	MIR3928			
ENSG00000207098	SNORA70			
ENSG00000206622	SNORA69	ENSMUSG00000065642	Snora69	ortholog_one2one
ENSG00000263815	RN7SL426P			
ENSG00000252217	Y_RNA			
ENSG00000211578	MIR766			
ENSG00000207782	MIR150			
ENSG00000207736	MIR657			
ENSG00000199295	RNU6-1312P	ENSMUSG00000084739	Gm22067	ortholog_one2one
ENSG00000277478	MIR6165			
ENSG00000238759	RNU7-155P			
ENSG00000201957	SNORA25	ENSMUSG00000088335	Gm22843	ortholog_one2many
ENSG00000202331	RNA5SP167	ENSMUSG00000084613	n-R5s164	ortholog_one2one
ENSG00000202184	RNU6-1283P			
ENSG00000252061	RNU6-415P	ENSMUSG00000088468	Gm24750	ortholog_many2many
ENSG00000252061	RNU6-415P	ENSMUSG00000088657	Gm24847	ortholog_many2many
ENSG00000273537	ZEB2_AS1_3	ENSMUSG00000099117	Gm27404	ortholog_one2one
ENSG00000201403	SNORD14B	ENSMUSG00000064741	Snord14a	ortholog_one2many
ENSG00000238326	snoU13			
ENSG00000200914	RNA5SP435	ENSMUSG00000088937	Gm25923	ortholog_one2one
ENSG00000239002	SCARNA10	ENSMUSG00000089617	Scarna10	ortholog_one2one
ENSG00000201810	U8			
ENSG00000238819	SNORD11			
ENSG00000212450	RNU6-241P	ENSMUSG00000088360	Gm23500	ortholog_many2many
ENSG00000212450	RNU6-241P	ENSMUSG00000088855	Gm24724	ortholog_many2many
ENSG00000200427	Y_RNA			
ENSG00000273927	Y_RNA			
ENSG00000252491	RNU1-142P	ENSMUSG00000064859	Gm24524	ortholog_one2one
ENSG00000200832	SNORD114-4			
ENSG00000199753	SNORD104	ENSMUSG00000065126	Snord104	ortholog_one2one
ENSG00000200997	RNU1-85P			
ENSG00000206636	Y_RNA			
ENSG00000252550	SNORA25			
ENSG00000201023	RNY3P11			
ENSG00000265176	MIR3202-1			
ENSG00000252539	RNA5SP462	ENSMUSG00000084688	n-R5s43	ortholog_one2one
ENSG00000208032	MIR548A3			
ENSG00000265226	MIR548AI			
ENSG00000200241	Y_RNA	ENSMUSG00000064706	Gm22508	ortholog_many2many
ENSG00000200241	Y_RNA	ENSMUSG00000077588	Gm24372	ortholog_many2many
ENSG00000212389	RNU6-1275P	ENSMUSG00000065875	Gm25684	ortholog_one2one
ENSG00000283300	U6	ENSMUSG00000096704	Gm24805	ortholog_one2one
ENSG00000277506	RN7SL802P			
ENSG00000241524	RN7SL632P			
ENSG00000277553	HOTTIP_4	ENSMUSG00000098538	Gm27866	ortholog_one2one
ENSG00000198982	MIR380			
ENSG00000277892	MIR6746			
ENSG00000206766	RNU6-435P	ENSMUSG00000065656	Gm23104	ortholog_one2many
ENSG00000252766	RNU6-255P			
ENSG00000274711	Metazoa_SRP			
ENSG00000208036	MIR106B			
ENSG00000264056	MIR5685			
ENSG00000201423	RN7SKP246			
ENSG00000206621	SNORD116-14	ENSMUSG00000077772	Gm22373	ortholog_one2many
ENSG00000264425	MIR4653			
ENSG00000265422	MIR4684			
ENSG00000264014	MIR4253			
ENSG00000274878	DLEU2_3			
ENSG00000252604	RNU2-44P	ENSMUSG00000065620	Gm24764	ortholog_one2many
ENSG00000207199	SNORD38			
ENSG00000278108	MIR6757			
ENSG00000273912	MIR8068			
ENSG00000199700	RNU6-223P			
ENSG00000206649	SNORA20	ENSMUSG00000065202	Gm24615	ortholog_one2many
ENSG00000238761	snoU13			
ENSG00000276982	OSCAR			
ENSG00000207421	SNORD38B			
ENSG00000242436	RN7SL789P	ENSMUSG00000098477	Gm27853	ortholog_one2many
ENSG00000268991	FAM231B			
ENSG00000222076	RNU2-3P	ENSMUSG00000065620	Gm24764	ortholog_one2many
ENSG00000266503	RN7SL162P			
ENSG00000265105	Y_RNA			
ENSG00000252626	RNU6-1308P	ENSMUSG00000088995	Gm22764	ortholog_many2many
ENSG00000252626	RNU6-1308P	ENSMUSG00000089530	Gm25163	ortholog_many2many
ENSG00000202050	RNU6-391P			
ENSG00000252332	RNU6-911P			
ENSG00000239115	RNU7-67P			
ENSG00000206835	RNU1-74P	ENSMUSG00000075829	Gm23692	ortholog_one2one
ENSG00000283438	Metazoa_SRP			
ENSG00000253016	Y_RNA			
ENSG00000200385	SNORA42			
ENSG00000253080	RNA5SP373	ENSMUSG00000088711	Gm22731	ortholog_one2many
ENSG00000276669	Metazoa_SRP			
ENSG00000212424	RNU1-119P	ENSMUSG00000064565	Gm24145	ortholog_one2many
ENSG00000264102	MIR4688			
ENSG00000202263	RNA5SP22	ENSMUSG00000084541	n-R5s45	ortholog_one2many
ENSG00000202263	RNA5SP22	ENSMUSG00000088460	Gm24747	ortholog_one2many
ENSG00000202263	RNA5SP22	ENSMUSG00000077706	n-R5s72	ortholog_one2many
ENSG00000207146	Y_RNA			
ENSG00000221406	MIR320B2			
ENSG00000200670	RNU6-912P	ENSMUSG00000088360	Gm23500	ortholog_many2many
ENSG00000200670	RNU6-912P	ENSMUSG00000088855	Gm24724	ortholog_many2many
ENSG00000207077	RNU6-1119P	ENSMUSG00000093999	Gm26501	ortholog_one2many
ENSG00000252261	RNA5SP262	ENSMUSG00000084742	n-R5s19	ortholog_one2one
ENSG00000200064	RNY4P9			
ENSG00000276162	MIR5739			
ENSG00000283385	MIR4524A			
ENSG00000263918	MIR3670-1			
ENSG00000277052	MIR6763			
ENSG00000223321	RN7SKP293			
ENSG00000221333	MIR548K			
ENSG00000199373	RNA5SP453			
ENSG00000273516	U1	ENSMUSG00000065329	Gm22054	ortholog_one2many
ENSG00000238616	RNU6-300P			
ENSG00000283276	ABBA01000935.1			
ENSG00000222810	RNU2-68P	ENSMUSG00000084678	Gm26020	ortholog_one2one
ENSG00000200356	RNU6-833P	ENSMUSG00000088763	Gm24391	ortholog_one2many
ENSG00000262354	Y_RNA			
ENSG00000221066	SNORD111	ENSMUSG00000080396	Snord111	ortholog_one2many
ENSG00000253739	RNU6-323P			
ENSG00000200613	RNA5SP349			
ENSG00000252238	SNORA31			
ENSG00000206903	SNORA24B	ENSMUSG00000077667	Gm26147	ortholog_one2one
ENSG00000201277	Y_RNA			
ENSG00000264741	MIR4505			
ENSG00000221369	MIR548G			
ENSG00000012983	MAP4K5	ENSMUSG00000034761	Map4k5	ortholog_one2one
ENSG00000151748	SAV1	ENSMUSG00000021067	Sav1	ortholog_one2one
ENSG00000237848	AL606489.2			
ENSG00000261065	AL592146.1			
ENSG00000126456	IRF3	ENSMUSG00000003184	Irf3	ortholog_one2one
ENSG00000270179	AP002840.2			
ENSG00000149292	TTC12	ENSMUSG00000040219	Ttc12	ortholog_one2one
ENSG00000141858	SAMD1	ENSMUSG00000079003	Samd1	ortholog_one2one
ENSG00000251678	AC027343.3			
ENSG00000247732	AC091951.2			
ENSG00000112941	PAPD7	ENSMUSG00000034575	Papd7	ortholog_one2one
ENSG00000262099	AC004148.1			
ENSG00000271963	AC026786.2			
ENSG00000247970	AL160313.1			
ENSG00000250842	AC137770.1			
ENSG00000213326	RPS7P11			
ENSG00000262660	AC139530.2	ENSMUSG00000025792	Slc25a10	ortholog_one2many
ENSG00000262814	MRPL12	ENSMUSG00000039640	Mrpl12	ortholog_one2one
ENSG00000058673	ZC3H11A	ENSMUSG00000102976	Zc3h11a	ortholog_one2many
ENSG00000243904	RPSAP5			
ENSG00000266364	AC087499.8			
ENSG00000229402	AL162151.1			
ENSG00000232573	RPL3P4			
ENSG00000176605	C14orf177			
ENSG00000231258	ZSWIM5P2			
ENSG00000235323	COTL1P2			
ENSG00000259110	LINC02304			
ENSG00000263946	AC015818.3			
ENSG00000137726	FXYD6	ENSMUSG00000066705	Fxyd6	ortholog_one2many
ENSG00000258401	AL512361.1			
ENSG00000224025	AL353616.1			
ENSG00000258392	RPA2P1			
ENSG00000105357	MYH14	ENSMUSG00000030739	Myh14	ortholog_one2one
ENSG00000267815	AC008655.1			
ENSG00000133055	MYBPH	ENSMUSG00000042451	Mybph	ortholog_one2one
ENSG00000188766	SPRED3	ENSMUSG00000037239	Spred3	ortholog_one2one
ENSG00000258845	AL139354.1			
ENSG00000229567	AL139421.1			
ENSG00000237003	AC126124.2			
ENSG00000165684	SNAPC4	ENSMUSG00000036281	Snapc4	ortholog_one2one
ENSG00000183475	ASB7	ENSMUSG00000030509	Asb7	ortholog_one2one
ENSG00000108559	NUP88	ENSMUSG00000040667	Nup88	ortholog_one2one
ENSG00000231407	AL354732.1			
ENSG00000233703	AC027673.1			
ENSG00000153823	PID1	ENSMUSG00000045658	Pid1	ortholog_one2one
ENSG00000260919	AC100835.1			
ENSG00000233990	AL353754.1			
ENSG00000237357	BX088651.4			
ENSG00000175602	CCDC85B	ENSMUSG00000095098	Ccdc85b	ortholog_one2one
ENSG00000174059	CD34	ENSMUSG00000016494	Cd34	ortholog_one2one
ENSG00000186318	BACE1	ENSMUSG00000032086	Bace1	ortholog_one2one
ENSG00000210049	MT-TF			
ENSG00000211459	MT-RNR1			
ENSG00000210077	MT-TV			
ENSG00000210082	MT-RNR2			
ENSG00000209082	MT-TL1			
ENSG00000198888	MT-ND1	ENSMUSG00000064341	mt-Nd1	ortholog_one2one
ENSG00000210100	MT-TI			
ENSG00000210107	MT-TQ			
ENSG00000210112	MT-TM			
ENSG00000198763	MT-ND2	ENSMUSG00000064345	mt-Nd2	ortholog_one2one
ENSG00000210117	MT-TW			
ENSG00000210127	MT-TA			
ENSG00000210135	MT-TN			
ENSG00000210140	MT-TC			
ENSG00000210144	MT-TY			
ENSG00000198804	MT-CO1	ENSMUSG00000064351	mt-Co1	ortholog_one2one
ENSG00000210151	MT-TS1			
ENSG00000210154	MT-TD			
ENSG00000198712	MT-CO2	ENSMUSG00000064354	mt-Co2	ortholog_one2one
ENSG00000210156	MT-TK			
ENSG00000163431	LMOD1	ENSMUSG00000048096	Lmod1	ortholog_one2one
ENSG00000170549	IRX1	ENSMUSG00000060969	Irx1	ortholog_one2one
ENSG00000228253	MT-ATP8	ENSMUSG00000064356	mt-Atp8	ortholog_one2one
ENSG00000241978	AKAP2	ENSMUSG00000089945	Pakap	ortholog_one2many
ENSG00000259603	AC016595.1			
ENSG00000198899	MT-ATP6	ENSMUSG00000064357	mt-Atp6	ortholog_one2one
ENSG00000235754	APOM			
ENSG00000235219	AC236972.2			
ENSG00000268870	AC008758.5			
ENSG00000198938	MT-CO3	ENSMUSG00000064358	mt-Co3	ortholog_one2one
